referencia;estante;nombre;nombre_corto;iva;costo;precio
1027;0;ACRONAL RESINA ACRILICA GARRAFA;ACRONAL RESINA ACRILICA GARRAFA;16;3331;7500
1025;0;ACRONAL ACROACRIL GARRAFA  AL 50%;ACRONAL ACROACRIL GARRAFA  AL 50%;16;11590;18000
1024;0;ACRONAL ACROACRYL BOTELLA AL 30;ACRONAL ACROACRYL BOTELLA AL 30;16;2881;5000
1023;0;ACRONAL ALFACRYL 1/2;ACRONAL ALFACRYL 1/2;16;1305;2300
2934;0;PETROLEO X 1/2;PETROLEO X 1/2;16;1488;2600
2936;0;PETROLEO X GARRAFA;PETROLEO X GARRAFA;16;8268;12000
2935;0;PETROLEO X BOTELLAS;PETROLEO X BOTELLAS;16;2883;4600
1062;0;ALCOHOL INDUSTRIAL GARRAFA;ALCOHOL INDUSTRIAL GARRAFA;16;9600;15000
1064;0;ALCOHOL INDUSTRIAL X BOTELLAS;ALCOHOL INDUSTRIAL X BOTELLAS;16;4100;7500
1063;0;ALCOHOL INDUSTRIAL X 1/2;ALCOHOL INDUSTRIAL X 1/2;16;2100;4000
1022;0;ACPM X BOTELLAS;ACPM X BOTELLAS;16;0;3200
1021;0;ACPM X 1/2;ACPM X 1/2;16;811;1600
7,70318E+11;0;XL PEGANTE 60ML TRADICIONAL;XL PEGANTE 60ML TRADICIONAL;16;1667;2500
3771;0;XL DISTRIPENGANTES ECONOMICO X 1/2;XL DISTRIPENGANTES ECONOMICO X 1/2;16;2500;4500
3768;0;XL DISTRIPEGANTES ECONOMICO X BOTELLAS;XL DISTRIPEGANTES ECONOMICO X BOTELLAS;16;4500;8500
7,70318E+11;0;XL POR BOTELLA;XL POR BOTELLA;16;8638;12000
7,70318E+11;0;XL POR MEDIA;XL POR MEDIA;16;4601;6500
7,70726E+11;0;DESTAQUEADOR DLC5 480CC;DESTAQUEADOR DLC5 480CC;16;6036;12000
3767;0;XL DISTRIPEGANTES 120ML;XL DISTRIPEGANTES 120ML;16;900;2500
3770;0;XL DISTRIPEGANTES X 60ML;XL DISTRIPEGANTES X 60ML;16;600;1500
3769;0;XL DISTRIPEGANTES X 30;XL DISTRIPEGANTES X 30;16;350;1000
7,70318E+11;0;XL POR 120ML;XL POR 120ML;16;2236;4000
1257;0;BREAK LIQUIDA 2000 GARRAFA;BREAK LIQUIDA 2000 GARRAFA;16;4900;10000
1019;0;ACIDO MURIATICO Y DESMANCHADOR W Y F;ACIDO MURIATICO Y DESMANCHADOR W Y F;16;700;1500
2079;0;DIABLO ROJO;DIABLO ROJO;16;1080;3000
3289;0;SODA CAUSTICA;SODA CAUSTICA;16;1080;3000
2662;0;LOCERO GABINETE X 70CMS;LOCERO GABINETE X 70CMS;16;0;21000
2661;0;LOCERO GABINETE X 60CMS;LOCERO GABINETE X 60CMS;16;0;18000
7,70728E+11;0;TENDEDERO ROPA PLEGABLE 57X30;TENDEDERO ROPA PLEGABLE 57X30;16;0;70000
7,70318E+11;0;SOPORTE MULTIUSO REGIPLAS;SOPORTE MULTIUSO REGIPLAS;16;16052;23000
7,70345E+11;0;ORGANIZADOR DE ESCOBAS CONFORT;ORGANIZADOR DE ESCOBAS CONFORT;16;0;9000
7,70345E+11;0;JABONERA CONFORT;JABONERA CONFORT;16;0;6000
7,70345E+11;0;ORGANIZADOR TOALLAS;ORGANIZADOR TOALLAS;16;0;15000
7,70728E+11;0;CEPILLERO DOS NIVELES;CEPILLERO DOS NIVELES;16;5687;9000
7,70728E+11;0;REPISA MULTIUSO 3 NIVELES;REPISA MULTIUSO 3 NIVELES;16;9103;14000
7,70728E+11;0;REPISA CHAPUCERA GRANDE;REPISA CHAPUCERA GRANDE;16;6297;11000
7,70728E+11;0;REPISA MULTIUSO 2 NIVELES;REPISA MULTIUSO 2 NIVELES;16;6092;9500
7,70728E+11;0;CEPILLERO 1 NIVEL;CEPILLERO 1 NIVEL;16;3351;5500
7,70345E+11;0;REPISA PORTA PLANCHA;REPISA PORTA PLANCHA;16;0;9000
1283;0;BRILLA METAL LIQUIDO POR 1/2;BRILLA METAL LIQUIDO POR 1/2;16;2610;4500
1932;0;COPAO BLANCO X 500 GRAMOS;COPAO BLANCO X 500 GRAMOS;16;3752;6000
1931;0;COPAO GLAZURY X 1/16;COPAO GLAZURY X 1/16;16;4500;7500
1930;0;COPAO BLANCO BOLSA;COPAO BLANCO BOLSA;16;2181;4000
1871;0;CODO PVC 1/2;CODO PVC 1/2;16;241;500
3675;0;UNION LISA PVC  1/2;UNION LISA PVC  1/2;16;166;400
2435;0;HEMBRA PVC 1/2;HEMBRA PVC 1/2;16;0;300
2690;0;UNION MACHO PVC 1/2;UNION MACHO PVC 1/2;16;155;400
3394;0;TAPON LISO PVC 1/2;TAPON LISO PVC 1/2;16;114;300
