referencia;proveedor;estante;nombre;referencia2;iva;cantidad;costo;precio;unidad_medida;fecha;fecha_trx
770317511420;0;0;XL POR 120ML;770317511420;16;18;2236;4000;;01/02/2011;05/04/2016
1257;0;0;BREAK LIQUIDA 2000 GARRAFA;243044605172;16;9;4900;10000;;01/02/2011;18/03/2016
1019;0;0;ACIDO MURIATICO Y DESMANCHADOR W Y F;243044605177;16;15;700;1500;;01/02/2011;28/06/2015
2079;0;0;DIABLO ROJO;243044605178;16;35;1080;3000;;01/02/2011;08/04/2016
3289;0;0;SODA CAUSTICA;243044605179;16;23;1080;3000;;01/02/2011;18/04/2016
2662;0;0;LOCERO GABINETE X 70CMS;243044605180;16;11;0;21000;;01/02/2011;09/03/2011
2661;0;0;LOCERO GABINETE X 60CMS;243044605181;16;6;0;18000;;01/02/2011;12/06/2011
770727916775;0;0;TENDEDERO ROPA PLEGABLE 57X30;770727916775;16;0;0;70000;;01/02/2011;06/03/2014
770318441500;0;0;SOPORTE MULTIUSO REGIPLAS;770318441500;16;1;16052;23000;;01/02/2011;17/08/2014
770345017008;0;0;ORGANIZADOR DE ESCOBAS CONFORT;770345017008;16;1;0;9000;;01/02/2011;22/01/2013
770345011001;0;0;JABONERA CONFORT;770345011001;16;2;0;6000;;01/02/2011;09/02/2014
770345070050;0;0;ORGANIZADOR TOALLAS;770345070050;16;1;0;15000;;01/02/2011;        
770727916210;0;0;CEPILLERO DOS NIVELES;770727916210;16;1;5687;9000;;01/02/2011;12/01/2016
770727916320;0;0;REPISA MULTIUSO 3 NIVELES;770727916320;16;4;9103;14000;;01/02/2011;28/03/2016
770727916233;0;0;REPISA CHAPUCERA GRANDE;770727916233;16;2;6297;11000;;01/02/2011;06/07/2015
770727916321;0;0;REPISA MULTIUSO 2 NIVELES;770727916321;16;0;6092;9500;;01/02/2011;18/07/2013
770727916211;0;0;CEPILLERO 1 NIVEL;770727916211;16;1;3351;5500;;01/02/2011;23/02/2016
770345017006;0;0;REPISA PORTA PLANCHA;770345017006;16;0;0;9000;;01/02/2011;18/08/2011
1283;0;0;BRILLA METAL LIQUIDO POR 1/2;243044605193;16;30;2610;4500;;01/02/2011;20/03/2016
1932;0;0;COPAO BLANCO X 500 GRAMOS;243044605194;16;2;3752;6000;;01/02/2011;16/02/2016
1931;0;0;COPAO GLAZURY X 1/16;243044605195;16;1;4500;7500;;01/02/2011;28/05/2013
1930;0;0;COPAO BLANCO BOLSA;243044605196;16;6;2181;4000;;01/02/2011;18/04/2016
1871;0;0;CODO PVC 1/2;243044605198;16;275;241;500;;01/02/2011;18/04/2016
3675;0;0;UNION LISA PVC  1/2;243044605199;16;419;166;400;;01/02/2011;19/04/2016
2435;0;0;HEMBRA PVC 1/2;243044605200;16;189;0;300;;01/02/2011;20/11/2015
2690;0;0;UNION MACHO PVC 1/2;243044605201;16;118;155;400;;01/02/2011;09/04/2016
3394;0;0;TAPON LISO PVC 1/2;243044605202;16;211;114;300;;01/02/2011;18/04/2016
2367;0;0;GRAPA PLASTICA DUPLEX 20/22 N4;243044605203;16;1;499;1000;;01/02/2011;19/07/2015
